序号,名称,英文名称,时长,上映日期,详情,url,cover
1,托尼·斯塔克（钢铁侠 Iron Man）,Tony Stark,Human,1970/5/29,发明家托尼·斯塔克将他的天才运用到高科技解决问题上，成为铁甲复仇者钢铁侠。,https://hyj1999.github.io/page/Marvel/character/Tony_Stark,https://cdn.biubiu001.com/p/ping/question/img/ff8ac08ea35d873292ddddde2ddd5c0b.png
2,詹姆斯·罗德斯（战争机器 War Machine）,James Rhodes,Human,1968/10/6,无论是驾驶飞机还是驾驶战争机器装甲，空军中校詹姆斯·罗迪·罗德斯都流露出忠诚和勇气。,https://hyj1999.github.io/page/Marvel/character/James_Rhodes,https://cdn.biubiu001.com/p/ping/question/img/fbad289534b7bd2302252ef24fd4d0c9.png
101,奥巴代亚·斯坦尼（铁霸王 Iron Monger）,Obadiah Stane,Human,不详,Obadiah Stane 是托尼·斯塔克的商业伙伴，也是他父亲霍华德·斯塔克的好朋友。霍华德去世后，斯坦恩成为斯塔克工业公司的临时首席执行官，直到托尼不久后正式接任。史丹对年轻的史塔克的嫉妒导致他与十环联手组织了一次失败的暗杀企图，以便史丹可以再次成为首席执行官。他进一步用史塔克工业的武器武装十环，以促进他们在饱受战争蹂躏的古尔米拉的战役。当 Pepper Potts 揭露他与恐怖分子的关系时，Stane 创造了一件盔甲并取名为 Iron Monger 并试图杀死 Stark 本人，导致他自己死亡。,https://hyj1999.github.io/page/Marvel/character/Obadiah_Stane,https://cdn.biubiu001.com/p/ping/question/img/4d3caeb23c5696e8b46b423d010b7643.png#pic_center
3,佩珀·波兹（小辣椒）,Pepper Potts,Human,xxxx-02-xx,"Virginia ""Pepper"" Potts 负责经营 Stark Industries 的日常业务，而 Tony Stark 则分心社交或从事其他工作。",https://hyj1999.github.io/page/Marvel/character/Pepper_Potts,https://cdn.biubiu001.com/p/ping/question/img/96549572784e044309838c52e654e881.png
102,克里斯汀·埃弗哈特,Christine Everhart ,Human,不详,Christine Everhart 是一名记者，曾在《名利场》工作，之后被聘为 WHiH 世界新闻的主播。,https://hyj1999.github.io/page/Marvel/character/Christine_Everhart ,https://cdn.biubiu001.com/p/ping/question/img/e2c291900567b5f1e13aca8ecce9dac8.png
103,何·银森,Ho Yinsen,Human,不详,何·银森医生是著名的科学家和外科医生，来自阿富汗古尔米拉村。在他的家人在当地恐怖活动激增中丧生后，因森在阿富汗山区被十环绑架并俘虏。当托尼·斯塔克也被绑架时，因森因爆炸受伤而被指控照顾斯塔克的医疗需求。在被囚禁几个月后，银森通过开发一套专门的盔甲帮助斯塔克逃离洞穴，但在此过程中自愿为恐怖分子牺牲自己，并告诉斯塔克在伤势过重之前不要浪费生命。,https://hyj1999.github.io/page/Marvel/character/Ho_Yinsen,https://cdn.biubiu001.com/p/ping/question/img/dfe0cd81a41b98e20a2ead1e3bf6520c.png
104,拉扎,Raza,Human,不详,Raza Hamidmi Al-Wazar 是驻扎在阿富汗的十环恐怖分子小组的指挥官。早在1990年代，他就利用国家的不稳定性扩大十环活动，直接回应许文武。 2009 年，Raza 与 Obadiah Stane 达成协议，绑架托尼·斯塔克以换取他的武器，包括杰里科导弹。然而，斯塔克能够摆脱囚禁并逃离拉扎的部队。拉扎继续使用斯塔克工业公司的武器在全国范围内取得领土利益，包括收购古尔米拉。在与斯坦恩达成交换斯塔克的 Mark I 盔甲的新协议中，拉扎和他的士兵因未能杀死斯塔克而被背叛并被处决。,https://hyj1999.github.io/page/Marvel/character/Raza,https://cdn.biubiu001.com/p/ping/question/img/2a491a2fef27c56ff22d2bfb6ed84a9b.png
4,菲尔·科尔森,Phil Coulson,Human?(Cyborg),1964/7/8,菲尔·库尔森成为了神盾局的典型代表。在该组织的主管尼克·弗瑞（Nick Fury）的赞助下，特工成为了几个未来复仇者的朋友，并且不太可能成为团队走到一起的灵感。,https://hyj1999.github.io/page/Marvel/character/Phil_Coulson,https://cdn.biubiu001.com/p/ping/question/img/8c0772950b6a76f7044695c0eb57b940.png
1001,威廉·加布里埃尔,William Gabriel,Human,不详,威廉·加布里埃尔少将是部署在阿富汗的美国空军高级军官。,https://hyj1999.github.io/page/Marvel/character/William_Gabriel,https://cdn.biubiu001.com/p/ping/question/img/668792e0641f946420acaf13facab4f4.png
1002,阿布·巴卡尔,Abu Bakaar,Human,不详,阿布·巴卡尔是十环的成员，他与拉扎一起组织绑架托尼·斯塔克，以迫使斯塔克重新制造杰里科导弹。斯塔克逃跑后不久，巴卡尔在古尔米拉的一次突袭中遇到了钢铁侠，在此期间巴卡尔任由村民摆布。,https://hyj1999.github.io/page/Marvel/character/Abu_Bakaar,https://cdn.biubiu001.com/p/ping/question/img/e8bb8e0d2f7e5156fc61615ee04f799a.png#pic_center
